OSEBuildingID,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),Outlier,TotalGHGEmissions,GHGEmissionsIntensity
1,NonResidential,Hotel,7,DOWNTOWN,47.6122,-122.33799,1927,1.0,12,88434,0,88434,Hotel,Hotel,88434.0,,0.0,,0.0,60.0,7226362.5,2003882.0,3946027.0,1276453.0,,249.98,2.83
2,NonResidential,Hotel,7,DOWNTOWN,47.61317,-122.33393,1996,1.0,11,103566,15064,88502,"Hotel, Parking, Restaurant",Hotel,83880.0,Parking,15064.0,Restaurant,4622.0,61.0,8387933.0,0.0,3242851.0,5145082.0,,295.86,2.86
3,NonResidential,Hotel,7,DOWNTOWN,47.61393,-122.3381,1969,1.0,41,956110,196718,759392,Hotel,Hotel,756493.0,,0.0,,0.0,43.0,72587024.0,21566554.0,49526664.0,1493800.0,,2089.28,2.19
5,NonResidential,Hotel,7,DOWNTOWN,47.61412,-122.33664,1926,1.0,10,61320,0,61320,Hotel,Hotel,61320.0,,0.0,,0.0,56.0,6794584.0,2214446.25,2768924.0,1811213.0,,286.43,4.67
8,NonResidential,Hotel,7,DOWNTOWN,47.61375,-122.34047,1980,1.0,18,175580,62000,113580,"Hotel, Parking, Swimming Pool",Hotel,123445.0,Parking,68009.0,Swimming Pool,0.0,75.0,14172606.0,0.0,5368607.0,8803998.0,,505.01,2.88
9,Nonresidential COS,Other,7,DOWNTOWN,47.61623,-122.33657,1999,1.0,2,97288,37198,60090,Police Station,Police Station,88830.0,,0.0,,0.0,,12086616.0,0.0,7371434.0,4715182.0,,301.81,3.1
10,NonResidential,Hotel,7,DOWNTOWN,47.6139,-122.33283,1926,1.0,11,83008,0,83008,Hotel,Hotel,81352.0,,0.0,,0.0,27.0,5758795.0,0.0,2811215.0,2947580.0,,176.14,2.12
11,NonResidential,Other,7,DOWNTOWN,47.61327,-122.33136,1926,1.0,8,102761,0,102761,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,102761.0,,0.0,,0.0,,6298131.5,2276286.5,3636655.0,385189.0,,221.51,2.16
12,NonResidential,Hotel,7,DOWNTOWN,47.60294,-122.33263,1904,1.0,15,163984,0,163984,Hotel,Hotel,163984.0,,0.0,,0.0,43.0,13723820.0,0.0,7297919.0,6425900.0,,392.16,2.39
15,NonResidential,Hotel,7,DOWNTOWN,47.60695,-122.33414,1969,1.0,11,153163,19279,133884,Hotel,Hotel,133884.0,,0.0,,0.0,30.0,16016644.0,5237165.5,6187627.0,4591850.0,,691.26,4.51
16,NonResidential,Hotel,7,DOWNTOWN,47.60713,-122.33323,1998,1.0,25,333176,61161,272015,Hotel,Hotel,336640.0,,0.0,,0.0,36.0,26941110.0,5999360.5,18083049.0,2858700.0,,740.97,2.22
17,NonResidential,Hotel,7,DOWNTOWN,47.60699,-122.33346,1928,1.0,9,65009,0,65009,Hotel,Hotel,65009.0,,0.0,,0.0,48.0,6596057.5,1656352.5,1343000.0,3596705.0,,328.23,5.05
18,NonResidential,Hotel,7,DOWNTOWN,47.60809,-122.33212,1980,1.0,33,315952,57600,258352,"Hotel, Parking",Hotel,295511.0,Parking,57600.0,,0.0,58.0,22325364.0,4337738.5,13904183.0,4083440.0,,648.62,2.05
19,NonResidential,Hotel,7,DOWNTOWN,47.60755,-122.33244,1922,1.0,11,92190,25200,66990,"Hotel, Parking",Hotel,67390.0,Parking,25200.0,,0.0,35.0,10750010.0,4870847.5,3832369.0,2046793.0,,511.39,5.55
21,Nonresidential COS,Other,7,DOWNTOWN,47.60649,-122.33297,2004,1.0,11,412000,57000,355000,"Data Center, Library, Parking",Library,364913.0,Parking,49000.0,Data Center,1074.0,,18588860.0,737559.5,17851297.0,0.0,,181.38,0.44
22,NonResidential,Other,7,DOWNTOWN,47.60546,-122.33279,1930,1.0,6,103911,0,103911,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,90000.0,Office,40000.0,Swimming Pool,0.0,,9956396.0,4592347.5,4453868.0,910180.0,,433.86,4.18
23,NonResidential,Hotel,7,DOWNTOWN,47.60681,-122.33078,1983,1.0,28,416281,85000,331281,"Hotel, Parking",Hotel,348329.0,Parking,85000.0,,0.0,31.0,33556756.0,0.0,21225277.0,12331475.0,,802.89,1.93
24,NonResidential,Mixed Use Property,7,DOWNTOWN,47.60515,-122.33159,1907,1.0,5,57452,0,57452,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,16442.0,Restaurant,15505.0,Office,9741.0,,7606084.5,1776201.875,3764791.0,2065091.0,,273.02,4.75
25,NonResidential,Hotel,7,DOWNTOWN,47.60376,-122.33194,1916,1.0,10,104352,0,104352,Hotel,Hotel,104352.0,,0.0,,0.0,39.0,10154608.0,3430862.0,5908370.0,815376.0,,349.32,3.35
26,NonResidential,Other,7,DOWNTOWN,47.60265,-122.33051,1916,1.0,10,540360,0,540360,Courthouse,Courthouse,537150.0,,0.0,,0.0,76.0,44984468.0,0.0,24357833.0,20626631.0,,1265.29,2.34
